

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
152.705  003.049: BufEnter autocommands
152.706  000.001: editing files in windows
153.410  000.582  000.582: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/YouCompleteMe/autoload/youcompleteme.vim
204.846  000.332  000.332: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-node-inspect/autoload/nodeinspect.vim
205.829  000.724  000.724: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-startify/autoload/startify.vim
205.985  000.034  000.034: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/tabline/buflist.vim
206.866  000.578  000.578: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-startify/autoload/startify/fortune.vim
230.131  000.366  000.366: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-startify/syntax/startify.vim
232.881  000.207  000.207: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/ale/autoload/ale/util.vim
292.330  136.801: VimEnter autocommands
292.332  000.002: before starting main loop
293.531  000.934  000.934: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/neomake/autoload/neomake.vim
294.064  000.152  000.152: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/ale/autoload/ale/linter.vim
295.399  000.066  000.066: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/tabline/ctrlspace.vim
295.513  000.056  000.056: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/tabline/tabws.vim
295.854  000.077  000.077: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/tabline/builder.vim
309.730  016.113: first screen update
309.731  000.001: --- VIM STARTED ---
